# N = 988
neuron_id	spike_time_ms
216	15.0
111	15.1
160	15.1
6	15.2
18	15.2
35	15.2
39	15.2
48	15.2
99	15.2
144	15.2
150	15.2
164	15.2
262	15.2
281	15.2
299	15.2
7	15.3
61	15.3
65	15.3
72	15.3
83	15.3
89	15.3
92	15.3
94	15.3
96	15.3
108	15.3
118	15.3
127	15.3
130	15.3
147	15.3
153	15.3
158	15.3
163	15.3
175	15.3
181	15.3
183	15.3
195	15.3
203	15.3
217	15.3
227	15.3
232	15.3
240	15.3
249	15.3
258	15.3
260	15.3
268	15.3
271	15.3
286	15.3
302	15.3
304	15.3
313	15.3
316	15.3
4	15.4
5	15.4
8	15.4
10	15.4
11	15.4
17	15.4
21	15.4
29	15.4
32	15.4
33	15.4
37	15.4
45	15.4
50	15.4
52	15.4
53	15.4
54	15.4
55	15.4
63	15.4
69	15.4
74	15.4
79	15.4
85	15.4
88	15.4
95	15.4
98	15.4
100	15.4
102	15.4
109	15.4
112	15.4
115	15.4
116	15.4
129	15.4
134	15.4
138	15.4
139	15.4
141	15.4
142	15.4
152	15.4
154	15.4
161	15.4
162	15.4
172	15.4
176	15.4
180	15.4
182	15.4
187	15.4
189	15.4
191	15.4
192	15.4
194	15.4
196	15.4
201	15.4
202	15.4
205	15.4
206	15.4
209	15.4
214	15.4
220	15.4
224	15.4
229	15.4
230	15.4
231	15.4
233	15.4
235	15.4
238	15.4
239	15.4
241	15.4
246	15.4
247	15.4
251	15.4
252	15.4
253	15.4
255	15.4
256	15.4
257	15.4
261	15.4
267	15.4
269	15.4
270	15.4
272	15.4
275	15.4
283	15.4
284	15.4
292	15.4
294	15.4
295	15.4
305	15.4
308	15.4
312	15.4
318	15.4
325	15.4
327	15.4
1	15.5
2	15.5
9	15.5
15	15.5
16	15.5
24	15.5
25	15.5
28	15.5
38	15.5
40	15.5
42	15.5
43	15.5
57	15.5
62	15.5
70	15.5
71	15.5
73	15.5
76	15.5
78	15.5
80	15.5
90	15.5
93	15.5
101	15.5
103	15.5
106	15.5
114	15.5
117	15.5
120	15.5
121	15.5
126	15.5
131	15.5
133	15.5
136	15.5
143	15.5
145	15.5
146	15.5
148	15.5
149	15.5
151	15.5
155	15.5
159	15.5
166	15.5
169	15.5
171	15.5
173	15.5
185	15.5
186	15.5
188	15.5
197	15.5
198	15.5
204	15.5
207	15.5
211	15.5
213	15.5
215	15.5
221	15.5
222	15.5
228	15.5
237	15.5
243	15.5
245	15.5
248	15.5
266	15.5
274	15.5
279	15.5
280	15.5
282	15.5
285	15.5
290	15.5
291	15.5
293	15.5
296	15.5
297	15.5
298	15.5
301	15.5
310	15.5
317	15.5
322	15.5
323	15.5
324	15.5
328	15.5
329	15.5
0	15.600000000000001
3	15.600000000000001
12	15.600000000000001
14	15.600000000000001
20	15.600000000000001
23	15.600000000000001
26	15.600000000000001
30	15.600000000000001
31	15.600000000000001
34	15.600000000000001
36	15.600000000000001
41	15.600000000000001
46	15.600000000000001
51	15.600000000000001
59	15.600000000000001
60	15.600000000000001
64	15.600000000000001
66	15.600000000000001
68	15.600000000000001
75	15.600000000000001
81	15.600000000000001
84	15.600000000000001
86	15.600000000000001
87	15.600000000000001
91	15.600000000000001
97	15.600000000000001
105	15.600000000000001
107	15.600000000000001
110	15.600000000000001
113	15.600000000000001
122	15.600000000000001
124	15.600000000000001
125	15.600000000000001
128	15.600000000000001
132	15.600000000000001
135	15.600000000000001
140	15.600000000000001
157	15.600000000000001
165	15.600000000000001
168	15.600000000000001
170	15.600000000000001
174	15.600000000000001
178	15.600000000000001
184	15.600000000000001
193	15.600000000000001
200	15.600000000000001
208	15.600000000000001
212	15.600000000000001
218	15.600000000000001
219	15.600000000000001
223	15.600000000000001
225	15.600000000000001
226	15.600000000000001
236	15.600000000000001
244	15.600000000000001
250	15.600000000000001
259	15.600000000000001
263	15.600000000000001
265	15.600000000000001
273	15.600000000000001
276	15.600000000000001
277	15.600000000000001
278	15.600000000000001
287	15.600000000000001
288	15.600000000000001
289	15.600000000000001
300	15.600000000000001
303	15.600000000000001
306	15.600000000000001
307	15.600000000000001
311	15.600000000000001
314	15.600000000000001
315	15.600000000000001
319	15.600000000000001
320	15.600000000000001
321	15.600000000000001
326	15.600000000000001
963	15.600000000000001
13	15.700000000000001
19	15.700000000000001
22	15.700000000000001
27	15.700000000000001
44	15.700000000000001
47	15.700000000000001
49	15.700000000000001
56	15.700000000000001
58	15.700000000000001
67	15.700000000000001
77	15.700000000000001
119	15.700000000000001
123	15.700000000000001
137	15.700000000000001
156	15.700000000000001
167	15.700000000000001
179	15.700000000000001
199	15.700000000000001
210	15.700000000000001
234	15.700000000000001
242	15.700000000000001
254	15.700000000000001
264	15.700000000000001
309	15.700000000000001
82	15.8
104	15.8
177	15.8
190	15.8
902	16.0
984	16.0
418	16.099999999999998
851	16.099999999999998
744	16.2
440	16.3
443	16.3
882	16.3
979	16.3
486	16.400000000000002
517	16.400000000000002
622	16.400000000000002
672	16.400000000000002
811	16.400000000000002
881	16.400000000000002
644	16.5
654	16.5
858	16.5
895	16.5
393	16.6
468	16.6
475	16.6
794	16.6
944	16.6
421	16.7
539	16.7
578	16.7
640	16.7
767	16.7
871	16.7
937	16.8
447	16.900000000000002
796	16.900000000000002
898	16.900000000000002
949	16.900000000000002
554	17.0
673	17.0
356	17.1
577	17.1
627	17.1
635	17.1
669	17.1
680	17.1
700	17.1
717	17.1
748	17.1
822	17.1
376	17.2
656	17.2
714	17.2
332	17.3
977	17.3
402	17.400000000000002
788	17.400000000000002
618	17.5
765	17.5
527	17.6
536	17.6
927	17.6
942	17.6
433	17.7
766	17.7
876	17.7
965	17.7
645	17.8
696	17.8
810	17.8
831	17.8
594	17.9
417	18.0
557	18.0
444	18.1
608	18.1
785	18.1
880	18.1
929	18.1
666	18.2
614	18.4
436	18.500000000000004
488	18.500000000000004
390	18.6
722	18.6
617	18.8
959	18.8
761	19.200000000000003
459	19.4
534	19.5
368	19.700000000000003
336	20.099999999999998
887	22.2
593	23.4
395	27.8
428	28.400000000000002
363	28.6
375	28.6
497	28.6
621	28.6
331	28.7
340	28.7
351	28.7
439	28.7
494	28.7
505	28.7
582	28.7
628	28.7
359	28.8
379	28.8
453	28.8
506	28.8
564	28.8
586	28.8
615	28.8
364	28.900000000000002
373	28.900000000000002
419	28.900000000000002
450	28.900000000000002
472	28.900000000000002
606	28.900000000000002
612	28.900000000000002
652	28.900000000000002
353	29.0
362	29.0
392	29.0
397	29.0
430	29.0
441	29.0
461	29.0
520	29.0
522	29.0
531	29.0
538	29.0
553	29.0
571	29.0
630	29.0
658	29.0
348	29.1
406	29.1
412	29.1
463	29.1
476	29.1
487	29.1
516	29.1
533	29.1
562	29.1
565	29.1
573	29.1
575	29.1
