# N = 988
neuron_id	spike_time_ms
88	15.2
143	15.2
159	15.2
167	15.2
181	15.2
268	15.2
280	15.2
286	15.2
293	15.2
295	15.2
313	15.2
9	15.3
10	15.3
11	15.3
13	15.3
18	15.3
21	15.3
24	15.3
29	15.3
34	15.3
35	15.3
75	15.3
78	15.3
87	15.3
95	15.3
117	15.3
118	15.3
132	15.3
137	15.3
139	15.3
172	15.3
177	15.3
183	15.3
187	15.3
200	15.3
216	15.3
218	15.3
232	15.3
264	15.3
265	15.3
276	15.3
302	15.3
324	15.3
0	15.4
2	15.4
5	15.4
16	15.4
22	15.4
32	15.4
41	15.4
43	15.4
46	15.4
55	15.4
58	15.4
60	15.4
61	15.4
68	15.4
73	15.4
74	15.4
76	15.4
80	15.4
82	15.4
84	15.4
93	15.4
98	15.4
99	15.4
101	15.4
109	15.4
110	15.4
111	15.4
119	15.4
126	15.4
129	15.4
131	15.4
134	15.4
135	15.4
140	15.4
141	15.4
145	15.4
148	15.4
150	15.4
156	15.4
161	15.4
165	15.4
169	15.4
171	15.4
174	15.4
185	15.4
186	15.4
188	15.4
198	15.4
199	15.4
203	15.4
221	15.4
228	15.4
230	15.4
231	15.4
235	15.4
236	15.4
240	15.4
242	15.4
245	15.4
247	15.4
249	15.4
252	15.4
256	15.4
258	15.4
261	15.4
275	15.4
285	15.4
289	15.4
291	15.4
292	15.4
309	15.4
311	15.4
323	15.4
326	15.4
329	15.4
8	15.5
12	15.5
14	15.5
19	15.5
23	15.5
26	15.5
30	15.5
31	15.5
33	15.5
37	15.5
38	15.5
40	15.5
44	15.5
45	15.5
47	15.5
48	15.5
49	15.5
50	15.5
51	15.5
53	15.5
62	15.5
63	15.5
64	15.5
65	15.5
66	15.5
67	15.5
70	15.5
71	15.5
77	15.5
79	15.5
81	15.5
89	15.5
90	15.5
97	15.5
100	15.5
102	15.5
104	15.5
106	15.5
107	15.5
112	15.5
115	15.5
120	15.5
121	15.5
123	15.5
127	15.5
128	15.5
133	15.5
142	15.5
144	15.5
146	15.5
147	15.5
149	15.5
151	15.5
152	15.5
154	15.5
155	15.5
163	15.5
164	15.5
170	15.5
173	15.5
175	15.5
179	15.5
180	15.5
189	15.5
190	15.5
192	15.5
194	15.5
196	15.5
197	15.5
205	15.5
208	15.5
209	15.5
214	15.5
217	15.5
220	15.5
222	15.5
223	15.5
225	15.5
227	15.5
233	15.5
234	15.5
237	15.5
253	15.5
255	15.5
260	15.5
262	15.5
263	15.5
267	15.5
269	15.5
273	15.5
274	15.5
277	15.5
279	15.5
282	15.5
287	15.5
290	15.5
294	15.5
297	15.5
300	15.5
304	15.5
306	15.5
307	15.5
308	15.5
314	15.5
316	15.5
317	15.5
319	15.5
320	15.5
322	15.5
325	15.5
327	15.5
328	15.5
3	15.600000000000001
6	15.600000000000001
7	15.600000000000001
17	15.600000000000001
25	15.600000000000001
27	15.600000000000001
28	15.600000000000001
36	15.600000000000001
42	15.600000000000001
52	15.600000000000001
54	15.600000000000001
56	15.600000000000001
